Показатель	Страна	Год	Краткий обзор стран
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2015	11787
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2016	12743
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2017	13325
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2018	14361
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2019	15003
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2020	14749
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2021	16491
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Босния и Герцеговина	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	1992	..
